State,Number of CoCs,"Total Homeless, 2013","Sheltered Homeless, 2013","Unsheltered Homeless, 2013","Homeless Individuals, 2013","Sheltered Homeless Individuals, 2013","Unsheltered Homeless Individuals, 2013","Homeless People in Families, 2013","Sheltered Homeless People in Families, 2013","Unsheltered Homeless People in Families, 2013","Chronically Homeless, 2013","Sheltered Chronically Homeless, 2013","Unsheltered Chronically Homeless, 2013","Chronically Homeless Individuals, 2013","Sheltered Chronically Homeless Individuals, 2013","Unsheltered Chronically Homeless Individuals, 2013","Chronically Homeless People in Families, 2013","Sheltered Chronically Homeless People in Families, 2013","Unsheltered Chronically Homeless People in Families, 2013","Homeless Veterans, 2013","Sheltered Homeless Veterans, 2013","Unsheltered Homeless Veterans, 2013"
AK,2,"1,946","1,741",205,"1,362","1,208",154,584,533,51,184,138,46,166,124,42,18,14,4,210,188,22
AL,8,"4,689","3,246","1,443","3,387","2,212","1,175","1,302","1,034",268,858,295,563,768,249,519,90,46,44,511,363,148
AR,6,"3,812","1,664","2,148","3,174","1,177","1,997",638,487,151,602,171,431,565,142,423,37,29,8,462,326,136
AZ,3,"10,562","7,431","3,131","6,510","3,662","2,848","4,052","3,769",283,"1,188",520,668,"1,064",450,614,124,70,54,"1,222",901,321
CA,40,"118,552","45,554","72,998","93,458","26,426","67,032","25,094","19,128","5,966","33,112","5,251","27,861","29,248","4,177","25,071","3,864","1,074","2,790","12,895","4,886","8,009"
CO,3,"9,754","7,591","2,163","4,664","3,075","1,589","5,090","4,516",574,"1,780",846,934,"1,354",665,689,426,181,245,685,452,233
CT,6,"4,448","3,529",919,"3,101","2,275",826,"1,347","1,254",93,"1,046",678,368,872,542,330,174,136,38,341,267,74
DC,1,"6,865","6,353",512,"3,696","3,184",512,"3,169","3,169",0,"2,027","1,566",461,"1,764","1,303",461,263,263,0,499,435,64
DE,1,946,936,10,575,565,10,371,371,0,71,68,3,65,62,3,6,6,0,89,86,3
FL,28,"47,862","19,670","28,192","31,359","12,330","19,029","16,503","7,340","9,163","9,647","1,873","7,774","7,778","1,608","6,170","1,869",265,"1,604","5,505","2,328","3,177"
GA,9,"16,971","8,510","8,461","12,880","5,250","7,630","4,091","3,260",831,"3,082",936,"2,146","2,713",842,"1,871",369,94,275,"1,805",900,905
GU,1,"1,271",128,"1,143",296,35,261,975,93,882,290,1,289,51,1,50,239,0,239,32,2,30
HI,2,"6,335","3,745","2,590","3,355","1,142","2,213","2,980","2,603",377,"1,180",273,907,"1,031",212,819,149,61,88,558,234,324
IA,3,"3,084","2,950",134,"1,524","1,392",132,"1,560","1,558",2,327,258,69,277,208,69,50,50,0,229,220,9
ID,2,"1,781","1,404",377,"1,084",775,309,697,629,68,271,165,106,193,105,88,78,60,18,208,162,46
IL,20,"13,425","11,229","2,196","7,958","6,104","1,854","5,467","5,125",342,"1,574",980,594,"1,403",890,513,171,90,81,"1,267",882,385
IN,3,"6,096","5,396",700,"3,751","3,167",584,"2,345","2,229",116,580,409,171,511,343,168,69,66,3,743,666,77
KS,5,"2,693","2,382",311,"1,480","1,238",242,"1,213","1,144",69,356,249,107,304,204,100,52,45,7,414,384,30
KY,3,"5,245","4,491",754,"3,302","2,733",569,"1,943","1,758",185,541,268,273,394,219,175,147,49,98,607,510,97
LA,9,"5,226","3,651","1,575","3,908","2,401","1,507","1,318","1,250",68,"1,115",245,870,"1,015",227,788,100,18,82,575,383,192
MA,18,"19,029","18,179",850,"6,694","5,883",811,"12,335","12,296",39,"2,115","1,715",400,"1,577","1,180",397,538,535,3,"1,253","1,204",49
MD,16,"8,205","6,283","1,922","5,221","3,717","1,504","2,984","2,566",418,"1,480",862,618,"1,249",725,524,231,137,94,673,563,110
ME,2,"3,016","2,954",62,"1,563","1,518",45,"1,453","1,436",17,176,176,0,159,159,0,17,17,0,164,150,14
MI,21,"11,527","9,339","2,188","7,236","5,519","1,717","4,291","3,820",471,"1,106",666,440,969,578,391,137,88,49,"1,100",945,155
MN,10,"8,214","7,299",915,"3,728","3,023",705,"4,486","4,276",210,"1,350","1,001",349,915,622,293,435,379,56,349,286,63
MO,8,"8,581","6,501","2,080","4,652","3,365","1,287","3,929","3,136",793,"1,037",601,436,695,394,301,342,207,135,843,667,176
MS,3,"2,403","1,083","1,320","1,753",648,"1,105",650,435,215,475,68,407,408,61,347,67,7,60,210,129,81
MT,1,"1,878","1,094",784,"1,211",574,637,667,520,147,227,65,162,210,55,155,17,10,7,309,118,191
