,"Total Beds (ES, TH, SH)",,,,,,,,,,,,,Emergency Shelter (ES),,,,,,,,,,,,Transitional Housing (TH),,,,,,,,,,Safe Haven (SH),,,,,,,,,,Rapid Re-Housing (RRH),,,,,,,,,,Permanent Supportive Housing (PSH),,,,,,,,,,,Other Permanent Housing (OPH),,,,,,,,,
CoC Number,"Total Year-Round Beds (ES, TH, SH)","Total Non-DV Year-Round Beds (ES, TH, SH)","Total HMIS Year-Round Beds (ES, TH, SH)","HMIS Participation Rate for Year-Round Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Year-Round Beds (TH),Total Year-Round Beds (SH),"Total Units for Households with Children (ES, TH, SH)","Total Beds for Households with Children (ES, TH, SH)","Total Beds for Households without Children (ES, TH, SH)","Total Beds for Households with only Children (ES, TH, SH)","Dedicated Veteran Beds (ES, TH, SH)","Dedicated Youth Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Non-DV Year-Round Beds (ES),Total HMIS Year-Round Beds (ES),HMIS Participation Rate for Year-Round Beds (ES),Total Seasonal Beds (ES),Total Overflow Beds (ES),Total Units for Households with Children (ES),Total Beds for Households with Children (ES),Total Beds for Households without Children (ES),Total Beds for Households with only Children (ES),Dedicated Veteran Beds (ES),Dedicated Youth Beds (ES),Total Year-Round Beds (TH),Total Non-DV Year-Round Beds (TH),Total HMIS Year-Round Beds (TH),HMIS Participation Rate for Year-Round Beds (TH),Total Units for Households with Children (TH),Total Beds for Households with Children (TH),Total Beds for Households without Children (TH),Total Beds for Households with only Children (TH),Dedicated Veteran Beds (TH),Dedicated Youth Beds (TH),Total Year-Round Beds (SH),Total Non-DV Year-Round Beds (SH),Total HMIS Year-Round Beds (SH),HMIS Participation Rate for Year-Round Beds (SH),Total Units for Households with Children (SH),Total Beds for Households with Children (SH),Total Beds for Households without Children (SH),Total Beds for Households with only Children (SH),Dedicated Veteran Beds (SH),Dedicated Youth Beds (SH),Total Year-Round Beds (RRH),Total Non-DV Year-Round Beds (RRH),Total HMIS Year-Round Beds (RRH),HMIS Participation Rate for Year-Round Beds (RRH),Total Units for Households with Children (RRH),Total Beds for Households with Children (RRH),Total Beds for Households without Children (RRH),Total Beds for Households with only Children (RRH),Dedicated Veteran Beds (RRH),Dedicated Youth Beds (RRH),Total Year-Round Beds (PSH),Total Non-DV Year-Round Beds (PSH),Total HMIS Year-Round Beds (PSH),HMIS Participation Rate for Year-Round Beds (PSH),Total Units for Households with Children (PSH),Total Beds for Households with Children (PSH),Total Beds for Households without Children (PSH),Total Beds for Households with only Children (PSH),Dedicated Veteran Beds (PSH),Dedicated Youth Beds (PSH),Dedicated Chronically Homeless Beds (PSH),Total Year-Round Beds (OPH),Total Non-DV Year-Round Beds (OPH),Total HMIS Year-Round Beds (OPH),HMIS Participation Rate for Year-Round Beds (OPH),Total Units for Households with Children (OPH),Total Beds for Households with Children (OPH),Total Beds for Households without Children (OPH),Total Beds for Households with only Children (OPH),Dedicated Veteran Beds (OPH),Dedicated Youth Beds (OPH)
AK-500,1023,950,829,81.04%,597,426,0,97,339,675,9,0,115,597,545,466,78.06%,92,24,29,132,456,9,0,60,426,405,363,85.21%,68,207,219,0,0,55,0,0,0,.,0,0,0,0,0,0,43,43,43,100.00%,8,34,9,0,17,3,571,571,379,66.37%,52,156,415,0,192,0,311,71,71,71,100.00%,0,0,71,0,0,0
AK-501,805,534,478,59.38%,533,272,0,80,283,496,26,12,52,533,324,283,53.10%,25,5,49,178,335,20,0,25,272,210,195,71.69%,31,105,161,6,12,27,0,0,0,.,0,0,0,0,0,0,23,23,23,100.00%,4,15,8,0,7,0,368,368,222,60.33%,33,111,257,0,146,0,77,30,30,30,100.00%,0,0,30,0,0,0
AL-500,986,912,725,73.53%,595,357,34,77,245,723,18,169,35,595,535,463,77.82%,0,35,40,134,443,18,90,24,357,343,228,63.87%,37,111,246,0,79,11,34,34,34,100.00%,0,0,34,0,0,0,525,525,525,100.00%,79,269,256,0,333,125,1542,1542,1117,72.44%,267,681,861,0,565,283,668,93,93,93,100.00%,4,12,81,0,0,0
AL-501,526,438,336,63.88%,304,222,0,90,265,261,0,45,42,304,252,237,77.96%,0,4,31,111,193,0,5,0,222,186,99,44.59%,59,154,68,0,40,42,0,0,0,.,0,0,0,0,0,0,54,54,50,92.59%,22,44,10,0,10,21,247,247,197,79.76%,17,29,218,0,60,0,101,0,0,0,.,0,0,0,0,0,0
AL-502,237,157,0,0.00%,41,196,0,38,141,96,0,61,24,41,41,0,0.00%,76,0,4,19,22,0,36,2,196,116,0,0.00%,34,122,74,0,25,22,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,36,36,6,16.67%,0,0,36,0,20,0,0,20,20,0,0.00%,0,0,20,0,0,0
AL-503,487,432,104,21.36%,457,30,0,52,168,305,14,0,21,457,407,82,17.94%,0,2,41,148,295,14,0,14,30,25,22,73.33%,11,20,10,0,0,7,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,302,302,75,24.83%,30,89,213,0,227,0,296,0,0,0,.,0,0,0,0,0,0
AL-504,393,329,314,79.90%,247,146,0,42,128,265,0,37,0,247,237,222,89.88%,0,0,15,49,198,0,37,0,146,92,92,63.01%,27,79,67,0,0,0,0,0,0,.,0,0,0,0,0,0,58,58,58,100.00%,9,35,23,0,33,0,486,486,259,53.29%,48,145,341,0,227,0,403,0,0,0,.,0,0,0,0,0,0
AL-505,178,136,0,0.00%,146,32,0,17,86,78,14,0,14,146,118,0,0.00%,30,0,9,69,63,14,0,14,32,18,0,0.00%,8,17,15,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,4,4,0,0.00%,2,4,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0
AL-506,176,138,93,52.84%,91,82,3,25,63,113,0,18,14,91,75,75,82.42%,0,0,15,25,66,0,0,14,82,60,18,21.95%,10,38,44,0,18,0,3,3,0,0.00%,0,0,3,0,0,0,0,0,0,.,0,0,0,0,0,0,294,294,244,82.99%,37,64,230,0,267,0,4,0,0,0,.,0,0,0,0,0,0
AL-507,461,373,29,6.29%,192,269,0,39,120,335,6,32,46,192,104,0,0.00%,0,9,32,94,98,0,11,33,269,269,29,10.78%,7,26,237,6,21,13,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,245,245,83,33.88%,15,50,195,0,26,4,8,0,0,0,.,0,0,0,0,0,0
AR-500,674,533,325,48.22%,471,203,0,66,225,449,0,72,14,471,370,218,46.28%,0,120,42,167,304,0,48,0,203,163,107,52.71%,24,58,145,0,24,14,0,0,0,.,0,0,0,0,0,0,68,68,68,100.00%,6,21,47,0,34,0,931,931,552,59.29%,112,311,620,0,379,0,73,23,23,23,100.00%,3,11,12,0,0,0
AR-501,371,296,177,47.71%,186,185,0,49,176,163,32,34,156,186,111,93,50.00%,25,0,22,98,88,0,16,69,185,185,84,45.41%,27,78,75,32,18,87,0,0,0,.,0,0,0,0,0,0,158,158,158,100.00%,15,141,17,0,158,0,134,134,0,0.00%,13,39,95,0,134,0,95,15,15,0,0.00%,3,8,7,0,0,0
AR-503,564,414,241,42.73%,471,93,0,44,234,330,0,0,0,471,321,191,40.55%,0,0,35,209,262,0,0,0,93,93,50,53.76%,9,25,68,0,0,0,0,0,0,.,0,0,0,0,0,0,117,117,117,100.00%,24,76,41,0,0,0,42,42,42,100.00%,5,18,24,0,0,0,0,0,0,0,.,0,0,0,0,0,0
AR-505,223,115,0,0.00%,199,24,0,35,92,107,24,0,24,199,103,0,0.00%,0,0,25,80,95,24,0,24,24,12,0,0.00%,10,12,12,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,16,16,0,0.00%,4,4,12,0,0,0,0,0,0,0,.,0,0,0,0,0,0
AR-508,178,138,0,0.00%,154,24,0,22,59,119,0,15,0,154,114,0,0.00%,0,0,21,50,104,0,0,0,24,24,0,0.00%,1,9,15,0,15,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0
AR-512,52,20,0,0.00%,32,20,0,16,51,1,0,0,1,32,0,0,0.00%,0,1,11,31,1,0,0,1,20,20,0,0.00%,5,20,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0
AZ-500,1052,700,598,56.84%,861,191,0,83,359,668,25,53,26,861,509,407,47.27%,0,158,57,273,563,25,0,26,191,191,191,100.00%,26,86,105,0,53,0,0,0,0,.,0,0,0,0,0,0,147,147,139,94.56%,19,61,86,0,62,0,1179,1179,650,55.13%,166,631,548,0,553,0,343,0,0,0,.,0,0,0,0,0,0
AZ-501,1299,1226,1187,91.38%,768,516,15,149,481,814,4,180,63,768,715,676,88.02%,97,95,81,266,498,4,65,8,516,496,496,96.12%,68,215,301,0,115,55,15,15,15,100.00%,0,0,15,0,0,0,301,256,256,85.05%,61,208,93,0,42,0,2024,2024,1210,59.78%,182,620,1404,0,814,36,298,0,0,0,.,0,0,0,0,0,0
AZ-502,3529,2970,2805,79.48%,2237,1271,21,489,1760,1737,32,234,86,2237,1782,1762,78.77%,0,18,261,960,1245,32,16,60,1271,1167,1022,80.41%,228,800,471,0,218,26,21,21,21,100.00%,0,0,21,0,0,0,1088,1088,1088,100.00%,210,735,353,0,144,46,5422,5422,4265,78.66%,504,1754,3668,0,1155,14,1617,1076,1076,1076,100.00%,198,873,203,0,25,32
CA-500,1652,1593,1593,96.43%,654,998,0,203,762,878,12,199,87,654,595,595,90.98%,571,0,59,205,437,12,50,12,998,998,998,100.00%,144,557,441,0,149,75,0,0,0,.,0,0,0,0,0,0,532,520,520,97.74%,102,345,187,0,55,1,4275,4084,2698,63.11%,466,1618,2657,0,1315,63,1867,0,0,0,.,0,0,0,0,0,0
CA-501,2759,2642,1880,68.14%,2287,453,19,343,773,1961,25,451,193,2287,2206,1601,70.00%,35,0,237,538,1724,25,292,96,453,417,279,61.59%,106,235,218,0,140,97,19,19,0,0.00%,0,0,19,0,19,0,176,176,137,77.84%,14,39,137,0,0,0,8254,8189,6507,78.83%,894,2647,5607,0,1059,122,7730,0,0,0,.,0,0,0,0,0,0
CA-502,1636,1444,1203,73.53%,872,764,0,234,741,887,8,154,340,872,692,501,57.45%,270,39,94,414,450,8,22,56,764,752,702,91.88%,140,327,437,0,132,284,0,0,0,.,0,0,0,0,0,0,443,443,345,77.88%,89,299,144,0,47,0,2871,2839,2220,77.32%,363,972,1899,0,451,70,715,0,0,0,.,0,0,0,0,0,0
CA-503,1431,1329,1156,80.78%,762,669,0,189,544,881,6,90,121,762,678,596,78.22%,145,157,102,301,455,6,30,12,669,651,560,83.71%,87,243,426,0,60,109,0,0,0,.,0,0,0,0,0,0,661,661,661,100.00%,172,581,80,0,82,33,3028,3028,2292,75.69%,483,1392,1636,0,713,92,2195,8,8,8,100.00%,1,5,3,0,0,0
CA-504,936,874,807,86.22%,605,331,0,101,375,555,6,35,34,605,578,573,94.71%,210,3,50,207,392,6,19,22,331,296,234,70.69%,51,168,163,0,16,12,0,0,0,.,0,0,0,0,0,0,330,330,330,100.00%,74,240,90,0,35,15,952,952,524,55.04%,109,333,619,0,383,8,232,118,118,118,100.00%,32,111,7,0,0,0
CA-505,677,634,381,56.28%,459,218,0,55,203,471,3,28,32,459,435,325,70.81%,84,18,38,144,312,3,16,18,218,199,56,25.69%,17,59,159,0,12,14,0,0,0,.,0,0,0,0,0,0,183,183,183,100.00%,48,136,47,0,48,0,1183,1183,921,77.85%,147,497,686,0,262,11,653,0,0,0,.,0,0,0,0,0,0
CA-506,882,842,603,68.37%,292,590,0,128,478,386,18,64,50,292,252,82,28.08%,200,19,22,91,189,12,0,30,590,590,521,88.31%,106,387,197,6,64,20,0,0,0,.,0,0,0,0,0,0,19,19,6,31.58%,8,17,2,0,10,0,277,277,27,9.75%,23,54,223,0,199,0,66,0,0,0,.,0,0,0,0,0,0
CA-507,349,278,242,69.34%,182,167,0,49,153,196,0,16,0,182,161,161,88.46%,60,1,10,46,136,0,0,0,167,117,81,48.50%,39,107,60,0,16,0,0,0,0,.,0,0,0,0,0,0,155,155,155,100.00%,41,109,46,0,0,0,371,371,371,100.00%,35,104,267,0,53,0,201,70,70,70,100.00%,2,6,64,0,0,0
CA-508,482,464,399,82.78%,281,201,0,89,279,203,0,12,28,281,263,232,82.56%,106,0,53,156,125,0,12,0,201,201,167,83.08%,36,123,78,0,0,28,0,0,0,.,0,0,0,0,0,0,185,185,138,74.59%,63,155,30,0,86,0,638,638,223,34.95%,40,122,516,0,376,0,622,0,0,0,.,0,0,0,0,0,0
CA-509,138,118,118,85.51%,72,66,0,15,112,26,0,0,5,72,57,57,79.17%,64,0,6,56,16,0,0,5,66,61,61,92.42%,9,56,10,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,364,364,364,100.00%,103,227,137,0,120,0,79,0,0,0,.,0,0,0,0,0,0
